ATeam,ASeed,BTeam,BSeed,ARk,AAdjEM,AAdjO,AStrength_of_Schedule_AdjD,ANCSOS_AdjT,AW,AL,BRk,BAdjEM,BAdjO,BStrength_of_Schedule_AdjD,BNCSOS_AdjT,BW,BL,A_g,A_mp_per_g,A_fg_per_g,A_fga_per_g,A_fg_pct,A_fg2_per_g,A_fg2a_per_g,A_fg2_pct,A_fg3_per_g,A_fg3a_per_g,A_fg3_pct,A_ft_per_g,A_fta_per_g,A_ft_pct,A_orb_per_g,A_drb_per_g,A_trb_per_g,A_ast_per_g,A_stl_per_g,A_blk_per_g,A_tov_per_g,A_pf_per_g,A_pts_per_g,B_g,B_mp_per_g,B_fg_per_g,B_fga_per_g,B_fg_pct,B_fg2_per_g,B_fg2a_per_g,B_fg2_pct,B_fg3_per_g,B_fg3a_per_g,B_fg3_pct,B_ft_per_g,B_fta_per_g,B_ft_pct,B_orb_per_g,B_drb_per_g,B_trb_per_g,B_ast_per_g,B_stl_per_g,B_blk_per_g,B_tov_per_g,B_pf_per_g,B_pts_per_g
Michigan State,7,Duke,2,40,14.87,111.3,38,96.4,22,12,12,23.71,119.4,7,95.7,28,6,34,40.0,26.0,56.9,0.457,18.8,37.9,0.497,7.2,19.0,0.378,12.9,17.3,0.747,10.0,27.1,37.1,15.8,5.8,5.1,13.1,16.9,72.1,34,40.1,29.7,60.7,0.489,21.5,38.5,0.558,8.2,22.2,0.368,12.6,17.4,0.729,10.7,27.6,38.3,16.9,6.5,5.5,10.2,13.6,80.2
Gonzaga,1,Boise State,8,1,32.97,121.8,1,88.8,26,3,26,16.41,108.5,76,92.1,27,7,29,40.0,32.9,62.4,0.527,24.6,40.3,0.609,8.4,22.1,0.379,13.6,18.6,0.73,9.4,32.1,41.5,18.2,6.7,5.9,11.8,15.4,87.8,34,40.4,24.5,54.6,0.448,17.1,33.4,0.512,7.4,21.2,0.348,12.4,19.1,0.649,10.2,24.8,35.0,11.5,5.9,3.5,12.1,15.1,68.7
Murray State,7,Kentucky,2,27,16.39,111.5,35,95.1,30,2,3,26.59,120.2,4,93.6,26,7,32,40.0,29.0,60.6,0.479,21.0,37.8,0.555,8.1,22.8,0.353,13.2,19.0,0.694,12.5,26.7,39.2,14.7,7.9,3.1,11.4,15.0,79.3,33,40.2,30.4,62.8,0.485,24.3,45.2,0.537,6.2,17.6,0.349,12.5,17.1,0.73,12.9,27.3,40.3,16.1,6.8,4.2,11.5,14.2,79.5
Iowa,5,South Dakota State,13,13,23.53,121.5,2,98.0,26,9,71,11.44,116.8,12,105.3,30,4,35,40.3,29.9,64.5,0.464,20.6,39.2,0.526,9.3,25.2,0.368,14.7,19.6,0.749,11.8,25.4,37.3,16.1,7.4,4.4,9.2,16.1,83.8,34,40.1,31.1,59.2,0.525,21.7,38.3,0.566,9.4,20.9,0.449,15.2,20.0,0.759,7.4,28.1,35.6,15.2,6.1,2.5,11.0,15.4,86.7
Houston,5,Chattanooga,13,4,26.5,117.3,10,90.9,29,5,72,11.27,110.0,58,98.8,27,7,34,40.4,28.1,60.0,0.469,20.1,36.6,0.551,8.0,23.5,0.341,11.5,17.2,0.669,13.4,25.9,39.2,16.7,8.2,5.2,11.3,17.4,75.8,34,40.3,27.5,58.6,0.469,19.5,35.6,0.548,8.0,23.1,0.346,11.8,15.7,0.752,10.6,25.3,35.9,13.0,7.2,2.2,11.0,15.5,74.8
Miami (FL),10,Auburn,2,62,12.62,114.8,17,102.1,23,10,10,24.45,113.6,24,89.1,27,5,33,40.2,27.6,57.7,0.478,20.3,37.0,0.548,7.3,20.7,0.353,12.4,16.6,0.743,7.5,22.9,30.5,14.0,8.7,2.9,9.6,14.9,74.8,32,40.6,27.9,63.6,0.44,19.8,38.2,0.519,8.1,25.4,0.32,14.7,20.1,0.733,12.5,27.5,39.9,14.6,8.8,7.9,12.1,18.5,78.7
Kansas,1,San Diego State,8,6,25.49,119.4,6,93.9,28,6,22,18.15,104.1,157,85.9,23,8,34,40.4,28.6,59.6,0.481,21.5,39.4,0.545,7.1,20.1,0.355,14.1,19.5,0.724,11.1,26.3,37.4,15.4,6.4,4.1,12.5,15.9,78.6,31,40.3,23.7,54.7,0.433,17.6,37.9,0.466,6.0,16.9,0.358,11.9,17.1,0.695,9.8,25.3,35.1,11.9,7.5,4.7,12.7,17.4,65.3
Baylor,1,UNC,8,5,26.32,117.9,9,91.6,26,6,29,16.04,113.1,27,97.0,24,9,32,40.2,28.2,60.9,0.464,20.3,37.9,0.535,7.9,23.0,0.346,12.1,17.4,0.698,12.8,24.4,37.1,15.8,8.8,3.4,12.5,15.8,76.5,33,40.3,27.6,61.0,0.453,19.4,38.2,0.508,8.3,22.9,0.362,14.0,18.1,0.772,10.7,29.1,39.8,14.8,5.4,3.8,11.7,14.4,77.5
UConn,5,Arkansas,4,18,19.33,113.9,21,94.6,23,9,20,19.02,111.1,40,92.1,25,8,32,40.8,26.8,61.6,0.436,19.4,40.5,0.478,7.4,21.1,0.353,14.1,18.8,0.75,14.0,26.9,40.9,14.0,6.0,6.5,11.9,16.8,75.2,33,40.3,26.6,60.6,0.44,20.3,39.8,0.509,6.4,20.8,0.307,17.3,23.0,0.753,11.2,26.9,38.2,14.1,7.7,4.2,12.6,16.8,76.9
Saint Mary's,5,UCLA,4,16,19.81,109.8,63,90.0,25,7,8,24.85,116.1,15,91.2,25,7,32,40.0,26.2,56.4,0.463,19.0,36.0,0.528,7.2,20.4,0.35,10.3,13.5,0.762,8.6,25.2,33.8,13.4,7.0,2.6,11.3,15.6,69.8,32,40.8,27.9,62.1,0.45,21.1,42.5,0.496,6.9,19.6,0.351,13.6,18.5,0.736,11.6,25.5,37.1,14.0,7.0,3.3,9.2,16.3,76.4
LSU,6,Wisconsin,3,19,19.08,107.6,89,88.6,22,11,34,15.58,110.4,49,94.8,24,7,33,40.3,26.1,59.4,0.44,19.6,38.8,0.504,6.5,20.5,0.319,14.3,19.6,0.732,12.1,24.8,36.9,12.7,11.1,4.4,14.5,19.3,73.1,31,40.0,25.0,58.8,0.425,18.4,37.6,0.489,6.6,21.2,0.312,14.1,19.0,0.742,9.3,25.6,34.9,11.1,5.3,2.8,8.5,17.0,70.7
Loyola (IL),10,Villanova,2,24,17.69,110.9,42,93.2,25,7,11,24.11,118.0,8,93.8,26,7,32,40.6,26.3,54.3,0.483,17.3,31.1,0.558,8.9,23.3,0.383,12.4,17.3,0.719,7.7,26.3,34.0,15.0,6.9,2.4,12.2,17.2,73.8,33,40.2,24.6,56.3,0.437,15.3,30.4,0.503,9.3,25.9,0.359,14.1,17.2,0.823,10.2,24.7,34.9,12.1,6.2,2.2,10.0,15.2,72.6
Arizona,1,TCU,9,2,27.21,119.6,5,92.4,31,3,38,14.91,108.2,80,93.3,20,12,34,40.1,30.4,61.4,0.496,22.7,39.4,0.575,7.8,21.9,0.354,15.9,21.6,0.738,11.4,29.9,41.4,19.9,6.7,5.7,13.2,16.5,84.6,32,40.2,25.3,57.4,0.441,19.7,39.1,0.505,5.6,18.3,0.304,12.0,17.9,0.668,12.9,25.8,38.7,13.6,6.3,4.2,14.5,15.3,68.1
Notre Dame,11,Texas Tech,3,52,13.63,112.0,29,98.4,22,10,9,24.64,109.7,65,85.1,25,9,32,40.3,25.9,56.1,0.462,16.8,32.0,0.524,9.2,24.1,0.38,11.5,15.1,0.758,7.2,26.9,34.1,14.2,5.1,1.9,10.3,12.9,72.5,34,40.4,25.9,55.2,0.47,19.9,36.2,0.551,6.0,19.0,0.314,13.9,19.9,0.699,10.6,25.9,36.5,13.6,8.2,3.5,13.9,16.2,71.7
Virginia Tech,11,Purdue,3,23,17.86,114.3,18,96.4,23,12,14,22.29,121.3,3,99.0,27,7,35,40.1,26.0,55.3,0.471,17.0,32.3,0.526,9.0,22.9,0.393,9.7,13.1,0.743,8.6,23.6,32.2,14.4,5.4,3.2,10.8,14.7,70.7,34,40.4,28.2,57.2,0.493,19.5,34.9,0.559,8.7,22.4,0.391,14.6,20.8,0.703,11.2,27.4,38.6,16.6,4.6,3.5,11.7,14.4,79.8
Colorado State,6,Tennessee,3,31,15.86,114.2,20,98.3,25,5,7,25.24,111.4,36,86.2,26,7,30,40.3,26.6,54.8,0.485,19.0,33.5,0.566,7.6,21.3,0.358,12.9,16.7,0.774,6.6,25.3,31.9,14.2,6.3,3.2,10.1,14.9,73.7,33,40.3,25.9,60.2,0.43,17.1,35.7,0.479,8.8,24.4,0.359,12.7,17.8,0.712,11.9,25.2,37.1,16.1,9.3,4.4,12.4,17.0,73.2
